原料ID,原料名称,阶段,下一步动作,问题代码,问题详情,主档案 USDA 食物,主档案 FDC ID,主档案状态,主档案入库状态,次级 USDA 档案数,总档案映射数,待审 USDA 候选数,已确认 USDA 候选数,已拒绝 USDA 候选数,最佳候选ID,最佳候选 FDC ID,最佳候选食物,最佳候选分数,最佳候选置信度,Agent 状态,Ingredient 当前来源,Ingredient 当前 externalId
74ab3c12-e25f-464e-a12b-b24e3e9ef2b8,菠萝,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Pineapple, raw, traditional varieties",168193,生 / 标准可食部 / 未加工,VERIFIED,0,1,2,0,0,38e0af4d-0d89-42cf-95fd-ef0b454002f2,168193,"Pineapple, raw, traditional varieties",0.98,HIGH,COMPLETED,USDA,168193
7dff8839-3134-48e4-b46f-f34792b7e13e,糙米,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)",169703,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,472e025a-cf37-4b68-acad-5c731ed5f715,169706,"Rice, brown, medium-grain, raw (Includes foods for USDA's Food Distribution Program)",0.95,HIGH,,USDA,169703
403bc179-a556-450d-8138-482d5bfae1c6,大豆,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Soybeans, mature seeds, raw",174270,生 / 标准可食部 / 未加工,VERIFIED,0,1,2,0,0,f88c8683-acb4-4d09-bca9-a533647402c4,169284,"Soybeans, mature seeds, sprouted, raw",0.98,HIGH,COMPLETED,USDA,174270
51077e61-6382-44cc-a949-1cab2b21f6ae,大米,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Rice, white, long-grain, regular, raw, unenriched",169756,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,b3a1b2c7-2917-49de-a3a6-4cae8383370e,168877,"Rice, white, long-grain, regular, raw, enriched",0.98,HIGH,COMPLETED,USDA,169756
3d23cb09-98a5-405a-831c-e6c555a0b6d5,丁香粉,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Spices, cloves, ground",171321,粉 / 标准可食部 / 粉碎,VERIFIED,0,1,1,0,0,1a62ee83-b566-436f-89b8-51f42d1cb38d,171321,"Spices, cloves, ground",0.87,HIGH,,USDA,171321
dd4d71d0-e080-4565-9667-79ba62457801,冬瓜,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Waxgourd, (chinese preserving melon), raw",170069,生 / 标准可食部 / 未加工,VERIFIED,1,2,1,0,0,776f1555-41bb-468b-9daa-0b07f24a1911,170069,"Waxgourd, (chinese preserving melon), raw",0.95,HIGH,,USDA,170069
7c2ca065-0f8e-4c80-88e7-949469cacdcb,豆腐,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Tofu, raw, firm, prepared with calcium sulfate",172475,生 / 标准可食部 / 未加工,VERIFIED,0,1,2,0,0,23c43c8d-01e9-4997-bd15-149b95a1cda0,172476,"Tofu, raw, regular, prepared with calcium sulfate",0.98,HIGH,COMPLETED,USDA,172475
b79627c1-5242-41e4-8995-a3968a9873e7,鹅肝,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Goose, liver, raw",172415,生 / 标准可食部 / 未加工,VERIFIED,0,1,2,0,0,b7a6e02a-4037-4d65-9c71-ae9880909433,172415,"Goose, liver, raw",0.98,HIGH,,USDA,172415
b3d7b819-0740-4f1e-9dd5-2686af3c0f42,鹅胸肉,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Goose, domesticated, meat only, raw",172413,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,9432d3ee-5129-427f-96f4-04e20f64ecd0,172413,"Goose, domesticated, meat only, raw",0.75,MEDIUM,,USDA,172413
11109405-71c3-4aec-81f9-7fa57941c77f,橄榄油,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Oil, olive, salad or cooking",171413,油脂 / 标准可食部 / 未加工,VERIFIED,0,1,2,0,0,e9252639-203e-4d9a-b268-3450553c0297,171413,"Oil, olive, salad or cooking",0.87,HIGH,,USDA,171413
b9ff898d-2ecc-41d1-8b46-df6986548386,核桃,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Nuts, walnuts, english",170187,干 / 标准可食部 / 未加工,VERIFIED,0,1,2,0,0,40290ee7-b565-475b-a0e8-62ac21613a6b,170187,"Nuts, walnuts, english",0.87,HIGH,,USDA,170187
d72da578-0faa-4ed3-9e64-1665365904d0,黑木耳,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Jew's ear, (pepeao), raw",169237,生 / 标准可食部 / 未加工,VERIFIED,0,1,0,0,0,,,,0,,,USDA,169237
f00e71ae-d647-409c-b012-d6cd992bf868,红薯,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",168482,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,f881d19b-480d-4047-bae7-fe2e655e087a,169303,"Sweet potato leaves, raw",0.98,HIGH,COMPLETED,USDA,168482
55c55405-9c9a-41ec-8bd6-6a67eed92528,红甜椒,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Peppers, sweet, red, raw",170108,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,a7ba4dfb-32a3-4671-ab45-3a88b7f9fd41,170108,"Peppers, sweet, red, raw",0.95,HIGH,,USDA,170108
91a7901b-4875-42a6-a4c2-e1180084a253,红小豆,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Beans, adzuki, mature seeds, raw",173727,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,3cf4dc76-62e6-4a0c-a925-9378cdf94f47,173727,"Beans, adzuki, mature seeds, raw",0.95,HIGH,,USDA,173727
3342def2-9f87-4457-87b0-1095631d98e1,胡萝卜,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Carrots, raw",170393,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,cbe21848-1332-4023-a70e-8473c13f71cc,170393,"Carrots, raw",0.95,HIGH,,USDA,170393
1c25509f-7a38-4885-afe2-f9e925e32819,花椰菜,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Cauliflower, raw",169986,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,79f76c65-b071-4e98-a176-c0e130c57d0e,169389,"Cauliflower, green, raw",0.98,HIGH,COMPLETED,USDA,169986
a8d6cb88-03d7-4bb2-a2d4-8a4ecf9960dc,黄瓜,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Cucumber, with peel, raw",168409,生 / 带皮 / 未加工,VERIFIED,1,2,0,2,0,,,,0,,,USDA,168409
